day,hour,operation
11,09:13,перешел в status TEST_STOPPING
11,09:13,перешел в status CANCELED
11,09:33,запустил test
11,09:33,запустил test
11,09:33,запустил test
11,09:33,стартовал grafana
11,09:36,стартовал grafana
11,09:36,стартовал grafana
11,10:09,перешел в status FINISHED
11,10:11,перешел в status FINISHED
11,10:11,перешел в status FINISHED
12,12:48,запустил test
12,12:48,запустил test
12,12:48,запустил test
12,12:50,стартовал grafana
12,12:50,стартовал grafana
12,12:50,стартовал grafana
12,01:25,перешел в status FINISHED
12,01:26,перешел в status FINISHED
12,01:26,перешел в status FINISHED
12,02:02,запустил test
12,02:02,запустил test
12,02:02,запустил test
12,02:04,стартовал grafana
12,02:04,стартовал grafana
12,02:04,стартовал grafana
12,02:45,запустил test
12,02:45,запустил test
12,02:45,запустил test
12,02:45,запустил test
12,02:45,стартовал grafana
12,02:45,стартовал grafana
12,02:45,стартовал grafana
12,02:45,стартовал grafana
12,02:46,перешел в status FINISHED
12,02:46,перешел в status FINISHED
12,02:46,перешел в status FINISHED
12,02:49,перешел в status TEST_STOPPING
12,02:49,перешел в status CANCELED
12,02:49,перешел в status TEST_STOPPING
12,02:49,перешел в status CANCELED
12,02:49,перешел в status TEST_STOPPING
12,02:49,перешел в status CANCELED
12,02:49,перешел в status TEST_STOPPING
12,02:49,перешел в status CANCELED
12,02:51,запустил test
12,02:51,запустил test
12,02:52,запустил test
12,02:52,запустил test
12,02:52,стартовал grafana
12,02:53,стартовал grafana
12,02:53,стартовал grafana
12,02:53,стартовал grafana
12,03:13,перешел в status FINISHED
12,03:14,перешел в status FINISHED
12,03:15,перешел в status FINISHED
12,03:15,перешел в status FINISHED
12,04:04,запустил test
12,04:04,запустил test
12,04:04,запустил test
12,04:07,стартовал grafana
12,04:07,стартовал grafana
12,04:07,стартовал grafana
12,04:42,перешел в status FINISHED
12,04:43,перешел в status FINISHED
12,04:43,перешел в status FINISHED
12,04:44,запустил test
12,04:44,запустил test
12,04:44,запустил test
12,04:44,стартовал grafana
12,04:46,стартовал grafana
12,04:46,стартовал grafana
12,05:05,перешел в status TEST_STOPPING
12,05:05,перешел в status CANCELED
12,05:05,перешел в status TEST_STOPPING
12,05:05,перешел в status CANCELED
12,05:05,перешел в status TEST_STOPPING
12,05:05,перешел в status CANCELED
12,05:06,запустил test
12,05:06,запустил test
12,05:06,запустил test
12,05:06,стартовал grafana
12,05:06,стартовал grafana
12,05:06,стартовал grafana
12,05:10,перешел в status TEST_STOPPING
12,05:10,перешел в status CANCELED
12,05:10,перешел в status TEST_STOPPING
12,05:10,перешел в status CANCELED
12,05:10,перешел в status TEST_STOPPING
12,05:10,перешел в status CANCELED
12,05:10,запустил test
12,05:10,запустил test
12,05:10,запустил test
12,05:11,стартовал grafana
12,05:13,стартовал grafana
12,05:13,стартовал grafana
12,05:46,перешел в status FINISHED
12,05:48,перешел в status FINISHED
12,05:48,перешел в status FINISHED
12,08:54,команда создана в графане
12,08:54,команда создана
12,08:54,подписка для команды создана
12,08:54,зарегистрировался
13,06:01,команда создана в графане
13,06:01,команда создана
13,06:01,подписка для команды создана
13,06:01,зарегистрировался
14,12:47,команда создана в графане
14,12:47,подписка для команды создана
14,12:47,зарегистрировался
14,12:47,команда создана
14,02:20,запустил test
14,02:22,стартовал grafana
14,02:29,перешел в status FINISHED
14,02:41,запустил test
14,02:41,перешел в status TEST_STOPPING
14,02:42,перешел в status FAILED
14,06:00,запустил test
14,06:00,запустил test
14,06:00,запустил test
14,06:03,стартовал grafana
14,06:03,стартовал grafana
14,06:03,стартовал grafana
14,06:04,перешел в status TEST_STOPPING
14,06:04,перешел в status CANCELED
14,06:04,перешел в status TEST_STOPPING
14,06:04,перешел в status CANCELED
14,06:04,перешел в status TEST_STOPPING
14,06:04,перешел в status CANCELED
14,06:05,запустил test
14,06:05,запустил test
14,06:05,запустил test
14,06:05,стартовал grafana
